time,UNIFORM,G1_Espildora1979,G2_Espildora1979,G3_Espildora1979,G1_Benitez1985,G2_Benitez1985,G3_Benitez1985,G1_Varas1985,G2_Varas1985,G3_Varas1985,G4_Varas1985,SCS_I24,SCS_IA24,SCS_II6,SCS_II12,SCS_II24,SCS_II48,SCS_III24
0.64,0.6400000000000002,0.7649571428571418,0.6830428571428557,0.478271428571427,0.9179845007363748,0.7108162356406462,0.44190653902798094,0.8080832695139896,0.8381511045655355,0.7469463917525756,0.6129782326951384,0.8130000000000001,0.7805200000000001,0.8639600000000001,0.8645600000000001,0.86382,0.8640800000000001,0.86698
0.66,0.6600000000000003,0.7773666666666654,0.7037666666666651,0.496566666666665,0.9270968321060362,0.7338402739322516,0.4671941016200281,0.8222095508100132,0.8521981590574355,0.7727726804123695,0.6305979455080987,0.82736,0.7952000000000001,0.87602,0.8763,0.87626,0.87616,0.88168
0.68,0.6800000000000003,0.7896857142857129,0.7256476190476175,0.5166333333333316,0.9354061089837972,0.755842874815904,0.4931877761413829,0.8362238880706904,0.866163475699556,0.7970659793814414,0.6494784388807052,0.84116,0.8096,0.8871,0.88688,0.88724,0.88768,0.89408
0.7000000000000001,0.7000000000000003,0.8022799999999984,0.7495999999999985,0.5391199999999983,0.9429999999999975,0.776999999999998,0.5199999999999985,0.8499999999999983,0.8799999999999979,0.8199999999999981,0.6699999999999983,0.8546000000000001,0.8240000000000001,0.8974,0.8968,0.8976000000000001,0.898,0.9052000000000001
0.72,0.7200000000000003,0.8146571428571412,0.773657142857141,0.5630571428571408,0.9499557172312199,0.7974535139911615,0.5477090132547848,0.8634045066273917,0.8936158468335768,0.8416655670103074,0.6923786450662722,0.8674799999999999,0.83784,0.90684,0.90636,0.9074000000000001,0.9076000000000001,0.9152
0.74,0.7400000000000003,0.8267523809523792,0.7959857142857124,0.5883047619047599,0.9563086465390256,0.8172088924889525,0.5762562665684814,0.8762756332842401,0.9067398085419712,0.8618219587628849,0.7161733063328406,0.87996,0.85128,0.9159200000000001,0.91546,0.91658,0.9171600000000001,0.92402
0.76,0.7600000000000003,0.8388476190476173,0.8159857142857125,0.6161619047619029,0.9620837172312198,0.8362375139911613,0.6055490132547846,0.8884445066273916,0.9190558468335764,0.8801455670103073,0.740778645066272,0.89196,0.86424,0.9243800000000001,0.924,0.92522,0.9248400000000001,0.9318000000000001
0.78,0.7800000000000004,0.8508999999999982,0.8342142857142839,0.6478285714285695,0.9673058586156088,0.8545107569955797,0.6354945066273914,0.8997422533136951,0.9302479234167872,0.8963127835051529,0.765589322533135,0.9034800000000001,0.87672,0.9323,0.9320200000000001,0.93332,0.93252,0.9390999999999999
0.8,0.8000000000000004,0.862861904761903,0.8517571428571409,0.6821142857142837,0.9719999999999973,0.8719999999999978,0.6659999999999979,0.9099999999999981,0.9399999999999975,0.909999999999998,0.7899999999999978,0.9146,0.8888,0.9399,0.9396,0.9408,0.9402,0.9461
0.8200000000000001,0.8200000000000004,0.8750099999999983,0.868954999999998,0.716754999999998,0.9761956848306306,0.8886791458026486,0.6969912960235619,0.9191306480117801,0.948107245949924,0.921044329896905,0.8135264064801156,0.92516,0.9003200000000001,0.94694,0.94682,0.94772,0.94788,0.95274
0.84,0.8400000000000004,0.8881999999999981,0.8857999999999977,0.7513333333333311,0.9799409131075083,0.9045321944035322,0.7284683946980831,0.9273741973490407,0.954809661266566,0.9299257731958741,0.836168541973488,0.93536,0.9118400000000001,0.95362,0.95344,0.95408,0.95556,0.95908
0.86,0.8600000000000004,0.9031999999999981,0.9017142857142834,0.784428571428569,0.9832882989690694,0.9195456701030904,0.7604498453608224,0.9350524226804103,0.9604584536082448,0.9372850515463895,0.8580474742268017,0.9450000000000001,0.9233600000000001,0.9599799999999999,0.95984,0.96022,0.96168,0.96508
0.88,0.8800000000000004,0.9202238095238077,0.9173571428571404,0.8170714285714265,0.9862904565537528,0.933706097201765,0.7929541973490405,0.9424870986745192,0.9654048306332816,0.9437628865979358,0.8792842709867428,0.95428,0.93488,0.9661799999999999,0.96616,0.96624,0.96744,0.97084
0.9,0.9000000000000005,0.9380904761904743,0.9327666666666642,0.8492999999999981,0.9889999999999973,0.9469999999999977,0.8259999999999978,0.9499999999999977,0.9699999999999973,0.9499999999999977,0.8999999999999977,0.963,0.9464,0.9721,0.9722,0.9722,0.9732,0.9764
0.92,0.9200000000000005,0.954642857142855,0.9479857142857117,0.8812142857142835,0.9914695434462415,0.9594139027982304,0.859605802650955,0.9579129013254762,0.9745951693667128,0.9566371134020595,0.9203157290132523,0.97136,0.95776,0.9778600000000001,0.97812,0.9779599999999999,0.97896,0.9816
0.94,0.9400000000000005,0.9686999999999979,0.9625199999999974,0.9126699999999978,0.993751701030925,0.9709343298969049,0.893790154639173,0.9665475773195853,0.9795415463917497,0.964314948453606,0.9403525257731934,0.9792,0.96832,0.98358,0.9838199999999999,0.9836199999999999,0.9847199999999999,0.9866
0.96,0.9600000000000005,0.9804999999999978,0.9765380952380925,0.9440857142857119,0.995899086892486,0.9815478055964628,0.9285716053019121,0.9762258026509548,0.9851903387334285,0.9736742268041211,0.9602314580265068,0.9866,0.97888,0.98922,0.98936,0.98918,0.99048,0.9913
0.98,0.9800000000000005,0.9904761904761881,0.98885714285714,0.9728571428571403,0.9979643151693638,0.9912408541973466,0.9639687039764335,0.9872693519882156,0.9918927540500707,0.9853556701030903,0.9800735935198794,0.99356,0.98944,0.9947,0.9947600000000001,0.99464,0.99616,0.99578
1.0,1.0000000000000004,0.9999999999999977,0.9999999999999972,0.9999999999999976,0.9999999999999971,0.9999999999999976,0.9999999999999976,0.9999999999999977,0.9999999999999971,0.9999999999999976,0.9999999999999972,1.0,1.0,1.0,1.0,1.0,1.0,1.0
